4K,#genre#
CCTV1,http://111.9.163.109:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://111.9.163.109:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://111.9.163.109:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://111.9.163.109:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://111.9.163.109:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://111.9.163.109:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://111.9.163.109:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://112.122.32.141:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.122.32.141:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.122.32.141:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.122.32.141:85/tsfile/live/0011_3.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.122.32.141:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.122.32.141:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.122.32.151:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.122.32.151:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.122.32.151:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.122.32.151:85/tsfile/live/0011_3.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.122.32.151:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.122.32.151:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.122.33.79:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.122.33.79:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.122.33.79:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.122.33.79:85/tsfile/live/0011_3.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.122.33.79:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.122.33.79:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.122.33.119:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.122.33.119:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.122.33.119:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.122.33.119:85/tsfile/live/0011_3.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.122.33.119:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.122.33.119:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.122.33.149:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.122.33.149:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.122.33.149:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.122.33.149:85/tsfile/live/0011_3.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.122.33.149:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.122.33.149:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.122.33.152:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.122.33.152:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.122.33.152:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.122.33.152:85/tsfile/live/0011_3.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.122.33.152:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.122.33.152:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.122.33.162:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.122.33.162:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.122.33.162:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.122.33.162:85/tsfile/live/0011_3.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.122.33.162:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.122.33.162:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.123.208.223:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
